id,name,category_id,score,review,address,operating_hour,phone_number,image_urls,convenience,caution,is_deleted
06-21,푸에르코 판교점,한식집,2.9,125,경기 성남시 분당구 분당내곡로 117 그레이츠 판교 2층,매일 14:30 ~ 17:00,0316227501,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FCFB276B4AB574EF3B6A51BC0CFC2992E, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F0EF20F04A47E46E9B95D1D4FE2FAFE76, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F82780DDCE6D14BA79CC23E9A2E1460F3","WIFI
동물출입
주차
휠체어사용
놀이방
흡연실","예약가능, 배달불가, 포장불가",False
06-22,자산어보 판교직영점,한식집,3.0,13,경기 성남시 분당구 대왕판교로606번길 10 라스트리트1동 2층 201호,월~토 11:30 ~ 22:00,0317069880,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F86D236CD7D374E4A9B7C06B437BAFE19, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ff216b880d25743d8f5d0499855209ee08d40884e%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F39e59003a100aa08047061eb589463c4f202fff0%3Foriginal",주차,"예약가능, 포장가능",False
06-23,황제갈비 판교점,한식집,4.2,26,"경기 성남시 분당구 대왕판교로 670 유스페이스2A동 1층 104, 105호",월~금 10:00 ~ 22:00,0317398688,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F53F59B5366C84139B5F96D985340CA0D, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F986a8b733c0b55caf4e2ceb52a12c31dff9dd97e%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=https%3A%2F%2Ft1.daumcdn.net%2Flocal%2Freview_placeapp%2FbtqhbGEGyY1_FbA3IgYaHb0RanIkaNXtk0_img.jpg","WIFI
동물출입
주차","예약가능, 배달불가, 포장가능",False
06-24,풍천숯재벌장어,한식집,3.9,195,경기 성남시 분당구 대왕판교로 660 유스페이스몰1빌딩 A동 103호,월~금 11:00 ~ 22:00 · 휴게시간 월~금 14:30 ~ 16:30,050371501614,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F878BF1CF72704BCFBA0115BA2130891C, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F401C1F9E9C4A4F2F93D4DDD6E8845E73, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F4CE9B032222842F3A3678DFE5AC6223D","WIFI
동물출입
주차
휠체어사용
놀이방
흡연실","예약가능, 배달가능, 포장가능",False
06-25,이야기둘,한식집,3.8,127,경기 성남시 분당구 판교로319번길 13 디테라스오피스텔 1층 113호,매일 12:00 ~ 22:00,0316078092,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F6A8AE6D1782E4F55A5B5451CE3847E34, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FF2B6A3ED92CE460BB2F905EA4E28CAAB, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB00280FD8D2746A9B07C5F4AF3303390","WIFI
주차
놀이방
흡연실","예약가능, 포장가능",False
06-26,선한레시피 판교점,한식집,4.2,51,경기 성남시 분당구 서판교로44번길 17-3 1층,화~일 15:00 ~ 17:00,0317053315,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FBBF36D9C19524281AAEF43B4C63AAA6C, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=https%3A%2F%2Ft1.daumcdn.net%2Flocal%2Freview_placeapp%2FbtqcRcA7hUp_6wy1FgOjKTDzbILZ0E30jk_img.jpg, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F2839899f96d8a30c96fa71cf485d61bc7bfae6ed%3Foriginal","WIFI
동물출입
주차","예약불가, 배달불가, 포장가능",False
06-27,차고145,한식집,3.8,141,경기 성남시 분당구 판교역로 145 라스트리트 알파리움2동 1층 108~110호,월~금 14:00 ~ 17:00,0317811450,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MjhfMjgw%2FMDAxNzI0ODI5MzQyNTgz.g45WjGt_RZZ7FLCZhNlN8EtaGEGQWuM60Q6AAIog4N8g.BjNwKryE85wv8nPHAtVjUa_Se1BHpltjKexUCVvBA1kg.JPEG%2FSE-32331d8f-49b0-44db-823c-7f354c67295b.jpg%3Ftype%3Dw773, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F61688C2472114061A9367457649CC7C7, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F73320C9234154096A21A974A00848EC8",편의시설 정보 없음,유의사항 정보 없음,False
06-28,송도갈비 판교브릿지타워점,한식집,3.9,46,경기 성남시 분당구 판교로227번길 6 브릿지타워,매일 11:30 ~ 22:00,0317020911,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F2e06f0255f01b57d836ada31828838445fb3c59f%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fc461a5f9c7473442ddaac4a1dcc419516e9e5a44%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ff3c7467844309c311e4742afe294e230f5b1d8bf%3Foriginal",주차,"예약가능, 포장가능",False
06-29,광화문국밥 판교점,한식집,4.0,80,경기 성남시 분당구 판교역로 152 알파돔타워 2층 206호,월~토 14:20 ~ 17:00,0316227170,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAyMjVfMiAg%2FMDAxNzA4ODU2ODg4Mzc4.HeQovUxkDxIlvJJR5Z2aO8bh7Jm2qRAnNwXAr6rAqRog.U7ctkUm9N6WD7GfPxO9prVuiefPlKg0OhC0VUzaEEQMg.JPEG%2F20240224%25EF%25BC%25BF140416.jpg%3Ftype%3Dw966, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FFA1C2DAB03D74F1783957FBA1C2B789A, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fb134ceb454f76297117d5944abefb698d11c3548%3Foriginal","WIFI
동물출입
주차
휠체어사용","예약가능, 배달불가, 포장가능",False
06-30,평가옥 판교점,한식집,3.2,31,경기 성남시 분당구 대왕판교로 660 유스페이스몰1 A동 102호,매일 11:00 ~ 21:30,0317242566,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F224F84495704627516, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F254F453D570316E730, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2154A53A5703171E29",주차,예약가능,False
06-31,돈블랑 판교점,한식집,3.8,66,경기 성남시 분당구 대왕판교로606번길 10 알파리움1단지아파트 알파리움타워 1동 1층,매일 11:00 ~ 22:00,0317037722,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MjJfMjg2%2FMDAxNzI0Mjg1NzY4NDg5.xwNNssip7q8vxjMtvObBGpdUORSFO9DgFDg_4KSNpIwg.4UJnvebGpblWxGUZp3VmbYhVVYItE0TIgo5og06EGHwg.JPEG%2FIMG_2569.JPG%3Ftype%3Dw773, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3E107A3A4FE1496896D1A0CD48D3BB45, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe45b6cc8a702a174f6c6d9af15dfb0ec163d4083%3Foriginal","WIFI
주차",예약가능,False
06-32,머내돌삼겹살,한식집,4.6,27,경기 성남시 분당구 동판교로52번길 17-14 1층,"월,수,목,금,토,일 10:00 ~ 22:00 · 휴게시간 월,수,목,금 15:00 ~ 16:00",03180176550,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F0E5A318194D440E3B860D1490A8E9BA9, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F975d1b7eb3efc740e57c7e5701b8bee40b7de987%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fc9e97164df7f2aca42692da5a95f8a50469736f6%3Foriginal",주차,예약가능,False
